Item,Price
Banana Bread,$6.30
Butter Croissant,$5.78
Almond Croissant,$5.78
Pain Au Chocolate,$5.50
Pain Au Chocolat,$6.00
Coconut Bread,$6.30
Plain Bagel,$5.06
Pumpkin Spice Bagel,$5.50
Blueberry Bagel,$5.06
Bacon and Cheese Danish,$6.28
Spinach and Ricotta Danish,$6.30
Starbucks Still Water 600mL,$4.05
Starbucks Sparkling Water 600mL,$4.05
Classic Hot Chocolate,$5.65
Classic Caramel Hot Chocolate,$6.55
Classic White Hot Chocolate,$5.65
Orange Juice 350mL,$4.56
Apple Juice 350mL,$4.56
Chicken and Avocado Wrap,$11.32
Spinach and Ricotta Roll,$7.20
Chicken and Stuffing Toastie,$11.71
Plant-Based Brekky Roll,$9.00
Ham and Cheese Toastie,$9.99
Eggs Benedict Panini,$11.41
Cheese and Tomato Toastie,$9.98
Chargrilled Veg and Vegan Feta Panini,$11.49
Sausage Roll,$7.11
Chicken Caesar Wrap,$11.32
Roasted Vegetable Roll,$7.11
"Bacon, Egg and Cheese Brekky Roll",$9.00
Chicken Parmigiana Toastie,$12.00
Brownie Slice,$5.30
Chocolate Jam Filled Donut,$5.00
Macaron,$3.50
Strawberry Jam Filled Donut,$5.00
Orange and Poppyseed Muffin,$5.00
Blueberry Muffin,$5.00
Chocolate Muffin,$5.00
Caramel Slice,$5.30
Galaxy Donut,$5.00
Chocolate Iced Donut,$4.00
Pumpkin Spice Donut,$5.00
Electro Donut,$4.00
Honeybread Man,$3.00
CroDonut Chocolate Cookie Crumble,$6.00
CroDonut Vanilla,$6.00
Cake Pop Strawberry,$3.50
Cake Pop Chocolate,$3.50
Chicken Caesar Salad,$11.58
"Chicken, Quinoa and Pumpkin Salad",$11.58
"Grain, Greens and Beans Salad",$12.00
Yoghurt and Muesli Pot,$7.55
English Breakfast Tea,$4.85
Matcha Green Tea Latte,$6.88
Chai Latte,$6.70
Black Tea with Grapefruit and Honey,$6.43
Pure Matcha Latte,$8.00
Emperors Cloud and Mist Green Tea,$4.85
Earl Grey Tea,$4.83
Espresso and Matcha Fusion,$7.48
Mint Tea,$4.82
VIA Instant Colombia Medium Roast 12 Pack,$14.98
Pike Place Medium Roast 250g Whole Bean,$19.18
Colombia Medium Roast 250g Whole Bean,$19.49
VIA Instant Italian Roast 12 Pack,$14.98
VIA Instant Pike Place 12 Pack,$14.99
Ham and Cheese Croissant,$9.74
Chicken and Avocado Panini,$11.49
Cinnamon Scroll,$6.13
Latte,$5.73
Cappuccino,$5.73
Pumpkin Spice Latte,$6.70
Flat White,$5.73
Long Black / Americano,$5.73
Caramel Macchiato,$6.88
White Chocolate Mocha,$6.16
Caffé Mocha,$6.35
Caramel Cloud Macchiato,$8.00
Honeycomb Salted Caramel Latte,$7.30
