Item,Price
Frappuccino Apple Crisp - Base Creme,R$22.22
Apple Crisp Macchiatto,R$18.90
Frappuccino Apple Crisp - Base Café,R$22.34
Apple Crisp Macchiatto Gelado,R$19.01
Frappuccino Chocolate Branco,R$19.21
Frappuccino Café,R$16.69
Frappuccino Doce de Leite - Base Café,R$19.53
Frappuccino Caramelo - Base Creme,R$19.33
Frappuccino Caramelo - Base Café,R$19.45
Frappuccino Brigadeiro - Base Creme,R$20.27
Frappuccino Avelã,R$18.75
Frappuccino Baunilha,R$19.00
Frappuccino Avelã - Base Creme,R$20.38
Frappuccino Mocha,R$19.20
Frappuccino Doce de Leite - Base Creme,R$19.53
Frappuccino Choco Chip - Base Creme,R$20.27
Frappuccino Caramelo,R$18.63
Frappuccino Doce de Leite,R$18.40
Frappuccino Super Morango,R$19.08
Frappuccino Chá Chai,R$19.22
Frappuccino Brigadeiro,R$18.57
Frappuccino Brigadeiro - Base Café,R$20.27
Frappuccino Mocha Branco,R$19.15
Frappuccino Maracujá,R$19.12
Frappuccino Avelã - Base Café,R$20.38
Frappuccino Chá Verde,R$19.26
Frappuccino Choco Chip,R$18.57
Frappuccino Choco Chip - Base Café,R$20.38
Frappuccino Chocolate,R$19.20
Caramelo Macchiato Latte Quente,R$16.86
Café Latte Quente,R$13.63
Baunilha Latte Quente,R$16.86
Café com Leite Quente,R$11.98
Café Mocha Quente,R$16.00
Café Mocha Branco Quente,R$17.40
Drageado de Avelã com Gianduia,R$35.00
Mini Coxinha de Frango com Requeijão,R$17.20
Cookie de Morango,R$9.31
Dark Chocotube,R$4.50
Chocolate Gelado,R$13.91
Caramelo Macchiato Gelado,R$16.88
Café Latte,R$12.15
Flat White,R$13.40
Café Americano,R$10.08
Baunilha Latte,R$15.11
Caramelo Macchiato Latte,R$15.20
Café Mocha Branco,R$15.52
Doce de Leite Latte Quente,R$16.10
Café Filtrado,R$9.94
Café com Leite,R$10.52
Café Mocha,R$15.55
Brigadeiro Latte,R$16.04
Banana Liofilizada,R$12.27
Manga Liofilizada,R$12.38
Abacaxi Liofilizado,R$12.31
Chá Chai Quente,R$11.51
Chai Latte,R$12.25
Chá Verde Latte,R$12.79
Chá Verde Latte Quente,R$14.16
Chai Latte Quente,R$13.75
Chá Preto Quente,R$10.58
Chá Verde Quente,R$10.58
Café Americano Gelado,R$10.16
Iced Café Mocha Branco,R$15.70
Iced Baunilha Latte,R$15.23
Café com Leite Gelado,R$11.07
Iced Café Latte,R$12.23
Iced Doce de Leite Latte,R$15.70
Café Latte Gelado,R$12.76
Iced Café Americano,R$9.86
Iced Café Mocha,R$15.75
Iced Café com Leite,R$10.86
