Item,Price
Студено Кафе Лате Tall (355мл),лв6.70
Iced Toasted Vanilla Oat Shaken Espresso (Tall (355мл)),лв8.60
Iced Toasted Vanilla Oat Shaken Espresso (Venti (592мл)),лв10.10
Iced Toasted Vanilla Oat Shaken Espresso (Grande (473мл)),лв9.10
Iced Caramelised Macadamia Oat Shaken Espresso (Tall (355мл)),лв8.60
Iced Caramelised Macadamia Oat Shaken Espresso (Venti (592мл)),лв10.10
Iced Caramelised Macadamia Oat Shaken Espresso (Grande (473мл)),лв9.10
Сандвич Капрезе (200г),лв7.60
Кроасан Прошуто,лв6.10
Кроасан Шунка и кашкавал (Гауда) 120г,лв6.10
Карамелена вафла (78г),лв3.60
Златна шоколадова монета (23г),лв2.60
Маслена бисквитка (50г),лв2.60
Топъл шоколад,лв6.70
Карамел Макиато,лв8.20
Мока,лв7.70
Ванила Лате (Venti (592мл)),лв8.70
Ванила Лате (Grande (473мл)),лв8.20
Ванила Лате (Tall (355мл)),лв7.70
Бяла Мока,лв7.70
Кафе Лате,лв6.70
Кафе Американо,лв5.70
Студено Карамел Макиато,лв8.20
Студено Кафе Лате,лв7.70
Студена Мока,лв7.70
Студена Бяла Мока,лв7.70
Студено Ванила Лате (Grande (473мл)),лв8.20
Студено Ванила Лате (Tall (355мл)),лв7.70
Студено Ванила Лате (Venti (592мл)),лв8.70
Студено Кафе Американо,лв5.70
Класически чай Лате,лв8.20
Матча чай Лате,лв8.20
Студено чай Лате,лв8.20
Студено Матча чай Лате,лв8.20
Студен чай Зелен Teavana (Tall (355мл)),лв6.70
Студен чай Зелен Teavana (Grande (473мл)),лв7.20
Студен чай Зелен Teavana (Venti (592мл)),лв8.20
Студен чай Хибискус Teavana (Grande (473мл)),лв7.20
Студен чай Хибискус Teavana (Tall (355мл)),лв6.70
Студен чай Хибискус Teavana (Venti (592мл)),лв8.20
Java Chip Frappuccino (Tall (355мл)),лв9.20
Java Chip Frappuccino (Grande (473мл)),лв9.70
Java Chip Frappuccino (Venti (592мл)),лв10.70
Ягоди и сметана Frappuccino (Venti (592мл)),лв10.70
Ягоди и сметана Frappuccino (Grande (473мл)),лв9.70
Ягоди и сметана Frappuccino (Tall (355мл)),лв9.20
Еспресо Frappuccino (Venti (592мл)),лв10.20
Еспресо Frappuccino (Grande (473мл)),лв9.20
Еспресо Frappuccino (Tall (355мл)),лв8.70
Карамел Frappuccino (Venti (592мл)),лв10.20
Карамел Frappuccino (Grande (473мл)),лв9.20
Карамел Frappuccino (Tall (355мл)),лв8.70
Mocha Frappuccino (Venti (592мл)),лв10.20
Mocha Frappuccino (Grande (473мл)),лв9.20
Mocha Frappuccino (Tall (355мл)),лв8.70
Ванила Frappuccino (Tall (355мл)),лв8.70
Ванила Frappuccino (Grande (473мл)),лв9.20
Ванила Frappuccino (Venti (592мл)),лв10.20
White Mocha Frappuccino (Venti (592мл)),лв10.20
White Mocha Frappuccino (Grande (473мл)),лв9.20
White Mocha Frappuccino (Tall (355мл)),лв8.70
White Chocolate Cream Frappuccino (Tall (355мл)),лв8.70
White Chocolate Cream Frappuccino (Grande (473мл)),лв9.20
White Chocolate Cream Frappuccino (Venti (592мл)),лв10.20
Кафе Frappuccino (Tall (355мл)),лв8.20
Кафе Frappuccino (Grande (473мл)),лв8.70
Кафе Frappuccino (Venti (592мл)),лв9.70
Морковена торта (159г),лв8.10
Ню Йорк Чийзкейк (120г),лв8.10
Тифин с Млечен Шоколад,лв7.60
Веган Ябълков Пай,лв7.10
Канелено руло (100г),лв6.10
Палачинки ((2бр)),лв6.10
Палачинки ((3бр)),лв7.10
Боровинков мъфин (120г),лв5.60
Шоколадов мъфин (130г),лв5.60
Бисквитка с шоколад (82г),лв4.60
Бисквитка с двоен шоколад (82г),лв4.60
Захарен донът (50г),лв4.10
Фреш Портокал (250мл),лв4.50
Фреш Ябълка (250мл),лв4.50
Био Лимонада (275мл),лв4.90
Сок Раух (200мл),лв2.95
Devin Minerals and Vitamins Immunity Череша и Роза 0.500л,лв2.50
Минерална вода Девин с череша и роза (425мл),лв2.50
Минерална вода Девин (500мл),лв2.40
Минерална газирана вода Девин (500мл),лв1.90
Пайк Плейс,лв22.00
Кения,лв22.00
Верона,лв22.00
Еспресо Роуст,лв20.00
Безкофеиново Еспресо,лв20.00
Блонд Еспресо Роуст,лв20.00
