Item,Price
Peppermint White Hot Chocolate,$5.26
Chestnut Praline Crème,$5.30
Pistachio Crème,$5.28
Rolled and Steel-Cut Oatmeal,$3.91
Rolled Steel-Cut Oatmeal,$4.51
Teavana Emperor's Clouds and Mist,$14.09
Teavana Peach Tranquility,$13.81
Teavana Royal English Breakfast,$14.09
Teavana Earl Grey,$14.08
Teavana Chai,$13.86
Sourdough Grilled Cheese,$6.25
Crispy Grilled Cheese on Sourdough,$7.18
"Turkey, Provolone and Pesto on Ciabatta",$9.26
"Chicken, Apple & Brie Sandwich",$8.48
Chicken Caprese on Ciabatta,$8.73
Cubano Sandwich,$8.87
Chimichurri Chicken Sandwich,$8.57
Chicken and Bacon on Brioche,$9.33
Caprese Sandwich,$8.01
"Apples, PB and Trail Mix Snack Box",$6.95
Tomato and Mozzarella on Focaccia,$8.85
Original Hummus and Crackers Snack Box,$4.85
Artisan Charcuterie Snack Box,$6.97
Avocado Spread,$1.75
Chicken Shawarma Wrap,$7.93
Southwest Black Bean Wrap with Monterey Jack,$7.93
Thai Chile Tuna Wrap with Jasmine Rice,$7.93
Chicken & Quinoa Protein Bowl with Chile Vinaigrette,$10.70
Eggs & Cheese Protein Box,$8.38
Baby Greens & Brown Rice Protein Bowl with Toasted Sesame Dressing,$10.69
Cheese & Fruit Protein Box,$7.77
Farmers' Market Protein Box,$8.35
Fire-Grilled Chicken Protein Box,$8.35
VIA Instant Pumpkin Spice Latte,$10.35
VIA Pike Place Roast,$15.95
VIA True North Blend,$17.48
VIA Italian Roast,$17.38
Starbucks VIA Instant Pike Place Roast,$17.57
VIA Decaf Italian Roast,$18.73
Iced Chai Latte,$5.57
Iced Tea,$2.25
Iced Black Tea,$3.36
Iced Chai Tea Latte,$3.66
Iced Black Tea Lemonade,$4.01
Iced Black Tea Latte,$4.88
Iced Rooibos Tea Latte,$4.72
Iced Blossoming Rose Tea Latte,$5.22
Iced Black Sesame Tea Latte,$5.23
Iced London Fog Tea Latte,$4.88
Iced Passion Tango Tea,$3.36
Iced Passion Tango Tea Lemonade,$4.00
Iced Royal English Breakfast Tea Latte,$4.88
Iced English Breakfast Tea Latte,$4.89
Iced Green Tea Lemonade,$4.00
Iced Blueberry Black Tea,$3.83
Iced Green Tea,$3.34
Iced Matcha Lemonade,$4.84
Iced Blueberry Black Tea Lemonade,$4.43
Matcha Tea Lemonade,$4.17
Iced Matcha Green Tea Latte,$4.19
Iced Peach Green Tea,$3.91
Iced Peach Green Tea Lemonade,$4.44
Iced White Tea,$2.70
Iced White Tea Lemonade,$3.35
Iced Guava White Tea,$3.82
Iced Guava White Tea Lemonade,$4.42
Lemonade,$2.57
Mango Dragonfruit Lemonade Starbucks Refreshers,$3.90
Blended Strawberry Lemonade,$5.33
Pink Drink,$4.61
Cold Milk,$3.61
Mango Dragonfruit Starbucks Refreshers™,$3.46
Strawberry Açaí Lemonade Starbucks Refreshers Beverage,$6.38
Violet Drink,$5.33
Violet Starbucks Refreshers®,$5.30
Strawberry Açaí Starbucks Refreshers Beverage,$5.68
Very Berry Hibiscus Refreshers®,$4.46
Very Berry Hibiscus Refreshers® Iced Beverage,$4.70
Very Berry Hibiscus Starbucks Refreshers™,$3.44
Strawberry Açaí Starbucks Refreshers® Iced Beverage,$4.70
Strawberry Acai Starbucks Refreshers™,$3.75
Strawberry Acai Lemonade Starbucks Refreshers,$4.31
Strawberry Açaí Lemonade Starbucks Refreshers® Iced Beverage,$5.27
Paradise Drink Starbucks Refreshers Beverage,$6.54
