Item,Price
Brunch,"$26,000.00"
Ensalada Chicken Pasta,"$7,570.00"
Yogurt Berries Granola,"$4,427.59"
Yogurt Light Papaya,"$4,417.24"
Mix Frutas Frescas,"$4,025.93"
Ensalada Fattoush,"$6,672.73"
2 Croissant Pavo Queso + 2 Caramel Macchiato Alto,"$19,650.67"
Iced Caramel Macchiato Grande + Lemon Cake,"$9,700.00"
Frutilla Creme Frappuccino Grande + Medialuna,"$8,800.00"
Café Frappuccino Grande + Muffin de Chocolate,"$9,000.00"
English Breakfast,"$10,021.62"
Earl Grey,"$10,075.76"
Emperor''s Cloud and Mist,"$9,865.71"
Chai,"$9,932.43"
Youthberry,"$9,734.04"
Mint Citrus,"$10,057.45"
Café Espresso 250 g.,"$14,020.51"
Café French roast 250 g.,"$13,030.77"
Café Verona 250 g.,"$14,005.71"
Café Sumatra 250 g.,"$14,978.79"
Café Komodo Descafeinado 250 g.,"$14,525.71"
Café Colombia Nariño 250 g,"$11,602.50"
Café Guatemala Antigua 250 g.,"$13,386.67"
Café House Blend 250 g.,"$14,785.37"
Café Kenya 250 g.,"$13,914.63"
Café Pike Place 250 g.,"$13,905.13"
Rejilla Maple,"$2,858.82"
Bretzel Chocolate,"$3,231.82"
Palmerita,"$2,400.00"
Croissant frambuesa Queso,"$2,846.15"
Frozen Cinnamon,"$3,792.31"
Pan de Queso,"$1,890.32"
Latte Grande + Croissant Pavo Queso,"$11,684.62"
Triple Coffee Espresso?,"$4,200.00"
Triple Coffee Frappuccino?,"$4,200.00"
Iced Espreso Mocha Coffee con Cocoa Cold Foam?,"$4,500.00"
Iced Mocha Blanco Coffee Cold Foam?,"$4,500.00"
Mango Pitahaya?,"$4,135.29"
Dragon Drink?,"$4,564.71"
Frutilla Acai Refresher?,"$3,500.00"
Pink Drink?,"$4,573.68"
Pan,$400.00
Egg Bite Espinaca / Egg Bite Jamón,"$2,500.00"
Sandwich Vegetariano,"$4,300.00"
Panini Jamon Serrano Queso,"$4,400.00"
Eclair Limon Navidad,"$2,000.00"
Cheesecake Dulce de Leche,"$4,100.00"
Bagel Bite,"$1,000.00"
Ensalada Provenzal,"$5,100.00"
Irresistible American Breakfast,"$5,454.55"
Americano Grande + Cinnamon Roll,"$5,100.00"
Jugo + Mechada Toscano,"$8,500.00"
Cold Brew,"$2,500.00"
Pumpkin Spice Latte,"$4,600.00"
Dulce de Leche Latte,"$4,047.37"
Café Latte,"$3,200.00"
Café Americano,"$2,923.08"
Traveler,"$12,000.00"
Black & White Mocha,"$3,600.00"
Caramel Macchiato,"$5,251.11"
Dulce De Leche,"$6,092.31"
Chocolate Caliente,"$4,602.33"
Cappuccino,"$4,546.67"
Café Mocha,"$5,413.51"
Latte,"$5,036.36"
