Item,Price
Mix De Proteina,"$16,500.00"
Mix De Avena Trasnochada,"$12,900.00"
Latte and Croissant Jamón Y Queso,"$27,400.00"
Latte and Panadería,"$20,400.00"
Pumpkin Spice Frappuccino,"$14,080.00"
Pumpkin Spice Latte,"$14,062.50"
Desayuno Starbucks,"$18,800.00"
Pistacho Latte,"$10,900.00"
Pistacho Mocha Blanco Latte,"$12,900.00"
Pistacho Green Tea Latte,"$12,900.00"
Pistacho Mocha Latte,"$12,900.00"
Pistacho Latte Helado,"$10,900.00"
Pistacho Mocha Latte Helado,"$12,900.00"
Pistacho Mocha Blanco Latte Helado,"$12,900.00"
Pistacho Green Tea Latte Helado,"$12,900.00"
Pistacho Frappuccino Cream,"$12,500.00"
Pistacho Mocha Frappuccino Cream,"$13,500.00"
Pistacho Mocha Blanco Frappuccino Cream,"$13,500.00"
Pistacho Green Tea Frappuccino Cream,"$13,500.00"
Vainilla sweet cream cold brew,"$10,315.38"
Cordusio,"$10,125.00"
Vainilla Latte Caliente,"$10,500.00"
Café del día,"$7,564.71"
Latte,"$11,022.22"
Espresso americano,"$8,650.00"
Flat white,"$12,616.67"
Latte Macchiato,"$13,300.00"
Caramel macchiato,"$13,755.56"
Mocha blanco,"$13,855.56"
Mocha,"$13,855.56"
Dolce canela latte,"$12,630.77"
Arequipe latte,"$13,705.56"
Vainilla Latte Helado,"$10,500.00"
Cookies & cream frappuccino,"$14,641.18"
Cold brew,"$10,777.78"
Latte Helado,"$11,566.67"
Espresso Americano Helado,"$9,180.00"
Flat White Helado,"$14,700.00"
Latte Macchiato Helado,"$13,900.00"
Fresa Acai Refresher,"$13,250.00"
Kiwi Refresher,"$11,660.00"
Star Drink,"$13,900.00"
Mango Dragonfruit Refresher,"$13,250.00"
Té chai latte,"$10,900.00"
Green tea latte,"$13,026.67"
Caramel Macchiato Helado,"$13,893.33"
Chocolate Shaken Espresso,"$13,740.00"
Avellana Shaken Espresso,"$13,645.45"
Mocha Helado,"$14,246.67"
Dolce Canela Latte Helado,"$13,120.00"
