Item,Price
Pistacie Muffin,kr39.00
Flat white,kr52.00
Rugbrødslap med skinke og ost,kr53.00
Croissant med skinke og ost,kr48.00
Sandwich med skinke og ost,kr72.00
Sandwich Mozzarella,kr68.00
Sandwich med kylling og pesto,kr72.00
Sandwich Omelet og Bacon,kr68.00
Croissant,kr32.00
Chokolade croissant,kr32.00
Lemon Loaf Cake,kr36.00
Chocolate Chunk Cookie,kr31.00
"Bagel med smør, ost and marmelade",kr29.00
Triple Chocolate Cookie,kr31.00
Triple Chocolate Muffin,kr39.00
Strawberry Cheesecake,kr47.00
Blueberry Muffin,kr39.00
Chocolate Fudge Cake,kr50.00
Raspberry Brownie,kr39.00
Donut Milky Zebra,kr27.00
Carrot Cake with Nuts,kr50.00
Donut Merry Berry,kr27.00
Skyr med mangokompot,kr39.00
Skyr med rabarber-jordbær kompot,kr39.00
Gold Coin,kr13.00
Caramel Waffle,kr23.00
Shortbread Biscuit,kr21.00
Gingerbread Biscuit - Teddy,kr31.00
Gingerbread Biscuit - Coffee,kr31.00
Innocent Apple Juice,kr30.50
Innocent Orange Juice,kr30.50
Innocent Energise Smoothie,kr33.50
Innocent Antioxidant Smoothie,kr33.50
Vitamin Well Boost,kr32.00
Innocent Recharge Smoothie,kr33.50
Vitamin Well Defence,kr32.00
Vitamin Well Prepare,kr32.00
San Pellegrino Aracia and Ficodindia,kr24.00
San Pellegrino,kr32.50
Acqua Panna,kr29.50
San Pellegrino Limonata,kr24.00
San Pellegrino Melograno and Arancia,kr24.00
San Pellegrino Aranciata and Rossa,kr24.00
San Pellegrino Essenza Lemon and Zest,kr24.00
San Pellegrino Essenza Pink Grapefruit and Citrus,kr24.00
San Pellegrino Essenza Blood Orange and Raspberry,kr24.00
