Item,Price
Iced Brown Sugar Oat Shaken Espresso (Tall),€5.50
Iced Brown Sugar Oat Shaken Espresso (Grande),€6.00
Iced Brown Sugar Oat Shaken Espresso (Venti),€6.70
Hazelnut Chocolate Crunch Hot Chocolate (Tall),€5.90
Hazelnut Chocolate Crunch Hot Chocolate (Grande),€6.40
Hazelnut Chocolate Crunch Hot Chocolate (Venti),€6.90
Caramelised Macadamia Oat Latte (Tall),€6.20
Caramelised Macadamia Oat Latte (Grande),€6.70
Caramelised Macadamia Oat Latte (Venti),€7.20
Iced Caramelised Macadamia Oat Latte (Tall),€6.20
Iced Caramelised Macadamia Oat Latte (Grande),€6.70
Iced Caramelised Macadamia Oat Latte (Venti),€7.20
Iced Chai Tea Oat Latte (Tall),€5.40
Iced Chai Tea Oat Latte (Grande),€5.90
Iced Chai Tea Oat Latte (Venti),€6.40
Iced Strawberry Matcha Latte (Tall),€6.20
Iced Strawberry Matcha Latte (Grande),€6.70
Iced Strawberry Matcha Latte (Venti),€7.20
Iced Toasted Vanilla Oat Shaken Espresso (Tall),€6.20
Iced Toasted Vanilla Oat Shaken Espresso (Grande),€6.70
Iced Toasted Vanilla Oat Shaken Espresso (Venti),€7.20
Iced Caramelised Macadamia Oat Shaken Espresso (Tall),€6.20
Iced Caramelised Macadamia Oat Shaken Espresso (Grande),€6.70
Iced Caramelised Macadamia Oat Shaken Espresso (Venti),€7.20
Valitsemasi leipä + Grande latte/cappuccino,€10.40
Caffè Latte (Ei extra shottia),€5.30
Caffè Latte (Yksi extra shotti),€6.20
Caffè Latte (Kaksi extra shottia),€7.10
Cappuccino (Tall),€5.30
Cappuccino (Grande),€5.80
Cappuccino (Venti),€6.10
Vanilla Latte (Tall),€5.90
Vanilla Latte (Grande),€6.40
Vanilla Latte (Venti),€6.70
White Chocolate Mocha (Ei extra shottia),€5.90
White Chocolate Mocha (Yksi extra shotti),€6.80
White Chocolate Mocha (Kaksi extra shottia),€7.70
Caffè Mocha (Ei extra shottia),€5.90
Caffè Mocha (Yksi extra shotti),€6.80
Caffè Mocha (Kaksi extra shottia),€7.70
Caffè Americano (Ei extra shottia),€3.90
Caffè Americano (Yksi extra shotti),€4.80
Caffè Americano (Kaksi extra shottia),€5.70
Freshly Brewed Coffee,€3.70
Caffè Misto,€4.60
Matcha Green Tea Latte,€5.40
Chai Tea Latte,€5.40
Teavana - Jasmine Pearls Tea,€3.00
Teavana - Youthberry Tea,€3.00
Teavana - Emperor's Clouds and Mist Tea,€3.00
Teavana - Hibiscus Herbal Blend,€3.00
Teavana - Mint Herbal Blend,€3.00
Teavana - Chai Tea,€3.00
Teavana - Mint Citrus Tea,€3.00
Teavana - Chamomile Herbal Blend,€3.00
Classic Hot Chocolate (Tall),€4.50
Classic Hot Chocolate (Grande),€4.90
Classic Hot Chocolate (Venti),€5.50
Starbucks Signature Hot Chocolate,€5.30
Caramel Signature Hot Chocolate,€5.50
Hazelnut Signature Hot Chocolate,€5.50
Cookies and Cream Frappuccino,€5.90
Chocolate Cream Chip Frappuccino,€5.90
White Chocolate Cream Frappuccino,€5.90
Vanilla Cream Frappuccino,€5.90
Strawberries and Cream Frappuccino (Tall),€5.60
Strawberries and Cream Frappuccino (Grande),€6.00
Strawberries and Cream Frappuccino (Venti),€6.60
Caramel Cream Frappuccino,€5.90
Coffee Frappuccino,€5.90
Espresso Frappuccino,€5.90
Java Chip Frappuccino,€5.90
Mocha Frappuccino,€5.90
White Chocolate Mocha Frappuccino,€5.90
Caramel Frappuccino,€5.90
Matcha Cream Frappuccino,€5.90
Iced Caffè Latte (Ei extra shottia),€5.30
Iced Caffè Latte (Yksi extra shotti),€6.20
Iced Caffè Latte (Kaksi extra shottia),€7.10
Iced White Chocolate Mocha (Tall),€5.40
Iced White Chocolate Mocha (Grande),€6.10
Iced White Chocolate Mocha (Venti),€6.70
Iced Caffè Mocha (Ei extra shottia),€5.90
Iced Caffè Mocha (Yksi extra shotti),€6.80
Iced Caffè Mocha (Kaksi extra shottia),€7.70
Iced Caramel Macchiato (Ei extra shottia),€5.90
Iced Caramel Macchiato (Yksi extra shotti),€6.80
Iced Caramel Macchiato (Kaksi extra shottia),€7.70
Iced Caffè Americano (Ei extra shottia),€3.90
Iced Caffè Americano (Yksi extra shotti),€4.80
Iced Caffè Americano (Kaksi extra shottia),€5.70
Cold Foam Iced Cappucino (Ei extra shottia),€4.90
Cold Foam Iced Cappucino (Yksi extra shotti),€5.80
Cold Foam Iced Cappucino (Kaksi extra shottia),€6.70
Cold Brew,€3.90
Cold Brew Latte,€5.30
Iced Matcha Green Tea Latte (Tall),€5.40
Iced Matcha Green Tea Latte (Grande),€5.90
Iced Matcha Green Tea Latte (Venti),€6.40
Iced Chai Tea Latte,€5.40
Peach Citrus Green Tea (Tall),€4.90
Peach Citrus Green Tea (Grande),€5.40
Peach Citrus Green Tea (Venti),€5.90
Iced Shaken Hibiscus Tea and Lemonade (Tall),€4.00
Iced Shaken Hibiscus Tea and Lemonade (Grande),€4.30
Iced Shaken Hibiscus Tea and Lemonade (Venti),€4.60
Iced Shaken Hibiscus Tea (Tall),€4.00
Iced Shaken Hibiscus Tea (Grande),€4.30
Iced Shaken Hibiscus Tea (Venti),€4.60
Iced Shaken Green Tea and Lemonade (Tall),€4.00
Iced Shaken Green Tea and Lemonade (Grande),€4.30
Iced Shaken Green Tea and Lemonade (Venti),€4.60
Iced Shaken Green Tea (Tall),€4.00
Iced Shaken Green Tea (Grande),€4.30
Iced Shaken Green Tea (Venti),€4.60
Iced Shaken Black Tea and Lemonade (Tall),€4.00
Iced Shaken Black Tea and Lemonade (Grande),€4.30
Iced Shaken Black Tea and Lemonade (Venti),€4.60
Iced Shaken Black Tea (Tall),€4.00
Iced Shaken Black Tea (Grande),€4.30
Iced Shaken Black Tea (Venti),€4.60
Strawberry Acai refresha (Tall),€4.90
Strawberry Acai refresha (Grande),€5.40
Strawberry Acai refresha (Venti),€5.90
Cool Lime refresha (Tall),€5.10
Cool Lime refresha (Grande),€5.60
Cool Lime refresha (Venti),€6.10
Pink Coconut refresha (Tall),€4.90
Pink Coconut refresha (Grande),€5.40
Pink Coconut refresha (Venti),€5.90
Mehukatti mansikka-omenamehu 2dl luomu,€2.50
Mehukatti appelsiini-mandariini-omenamehu 2dl luomu,€2.50
God Morgon Luomu appelsiinimehu 2 dl,€3.90
God Morgon Luomu omena 2 dl,€3.90
"Freixenet alkoholiton kuohuviini  0,0% 20 cl",€6.90
Novelle lähdevesi,€2.50
"Novelle Kivennäisvesipullo 0,5 l",€2.90
"Novelle sitruuna Kivennäisvesipullo 0,5 l",€2.90
Novelle Multi B+C Mango and guava,€2.90
Novelle Plus Mustikka-Granaattiomena,€2.90
"Vitamin Well Hydrate 0,5l",€4.30
"Vitamin Well Upgrade 0,5l",€4.30
Tomaatti-Mozzarella bagel,€6.50
Tuorejuustobagel,€4.90
Salamibagel,€7.50
Kinkku-juusto leipä,€6.50
Tunamelt leipä,€6.50
Punajuurihummus-vegaaninen feta kauraleipä,€5.90
Juustoruisleipä,€5.90
Lohi-muna ruisleipä,€7.50
Gluteeniton kinkku-juusto sämpylä,€7.90
Gluteeniton tomaatti-mozzarella sämpylä,€7.90
Kvinoa-Falafel salaatti,€10.90
Kana-Caesar Salaatti,€10.90
Kreikkalainen salaatti,€10.90
Gluteeniton mustikkagurtti,€3.90
Pähkinä-Hunaja jogurtti,€3.90
Mango-Chia tuorepuuro,€3.90
Croissant,€3.30
Mustikkamuffinssi,€4.90
Tuplasuklaamuffinssi,€4.90
Kanelikierre,€4.50
Suklaahippukeksi,€3.70
Kolmen suklaan keksi,€3.70
New York juustokakku,€6.90
