Item,Price
Cookies and Cream Cake,€6.33
Fondant au Chocolat,€4.05
Chocolate Lover Cake,€6.33
Fondant au Chocolat and Dulce de Leche,€4.03
Cheesecake Framboise,€5.83
Cheesecake Caramel,€5.91
Cookie Noisettes Chocolat au lait fourré Pâte à tartiner,€3.51
Cookie Blanc and Macadamia,€3.45
Cookie Pépites de Chocolat,€3.47
Spring Season blend 250gr,€8.95
Cold Cup Floral Blue16oz,€17.95
Tumbler Floral Blue 16oz,€27.75
Scone chocolat,€3.55
Scone myrtille,€3.55
Coffee Traveler,€21.14
Muffin Pépites de Chocolat,€3.94
Muffin Double Chocolat,€3.95
Muffin Chocolat and Noisettes,€3.94
Muffin Myrtilles,€3.94
Grande Salade de Fruits,€5.95
Yaourt au Coulis de Fraise and Céréales,€3.30
Tropical Mango yaourt,€3.60
Very Berry Yaourt,€3.60
Donut Blanc,€2.79
Donut fourré cacao,€3.03
Donut myrtille,€2.81
Donut Sucre,€2.77
Donut Fraise,€2.59
Donut Noir,€2.59
Croissant au Beurre,€2.37
Pain au Chocolat,€2.34
Cookie Double Chocolat,€3.14
Colombia Nespresso Capsules,€5.08
House Blend 250 gr,€8.29
Pike Place Roast Nespresso Capsules,€5.08
House Blend Nespresso Capsules,€5.08
Pike Place Roast 250 gr,€8.29
Kenya 250 gr,€8.29
Colombia Nariño 250 gr,€8.29
Ethiopia 250 gr,€8.29
Guatemala Antigua 250 gr,€8.29
Super Smoothie Innocent Energy 300 ml,€4.39
Lemon Iced tea 330 ML,€4.42
Super Smoothie Innocent Antioxidant 300 ml,€4.38
Evian 750 ml,€3.87
Just de Pomme Innocent 330 ml,€3.53
Green Smoothie 33Cl,€4.40
Red Smoothie 33Cl,€4.40
Jus d'Orange Innocent 330 ml,€3.52
Exotic Juice 33Cl,€3.55
Tropical Smoothie 33Cl,€4.40
Apple Juice 33Cl,€3.55
Limonade 33Cl,€4.40
Orange Juice 33Cl,€3.55
Peach Iced tea 330 ML,€4.42
Badoit 500 ml,€3.29
Evian 500 ml,€3.29
Cappuccino Dolce Gusto,€5.30
Caramel Macchiato Dolce Gusto,€5.25
House Blend Americano Dolce Gusto,€5.26
Espresso Roast Nespresso Capsules,€5.08
Fairtrade Espresso Roast 250 gr,€8.29
Sumatra 250 gr,€8.28
Caffè Verona 250 gr,€8.29
Decaf Espresso Roast Nespresso Capsules,€5.08
Fairtrade Decaf Espresso Roast 250 gr,€8.28
Sumatra Nespresso Capsules,€5.08
Caffè Verona Nespresso Capsules,€5.08
Cookie Straw,€1.19
Madeleines Natures,€2.36
Gaufre au Caramel,€2.36
Madeleines Chocolat,€2.36
Pièce en Chocolat,€1.49
Biscuit Shortbread x 2,€2.36
Brownie au Chocolat,€3.05
Shortbread Millionaire,€3.02
Cinnamon Roll,€3.75
Brioche façon Pain Perdu,€3.81
Trio de Pancakes,€3.80
Gaufre,€3.56
Egg and bacon muffin 130g,€6.27
Ham and Cheese Toastie,€7.10
Tomato and Mozzarella Sandwich,€6.90
Club Bacon,€7.13
Toastie 5 Fromages,€7.14
Chicken and Cheddar Sandwich,€7.08
Toastie Pesto Vegetarien,€6.95
Breakfast Croissant Bun,€5.85
Sandwich Tomates and Mozzarella,€7.15
Five Cheese Toastie,€6.95
Grilled Vegetables and Mozzarella Focaccia,€6.90
Club Poulet Cajun,€7.13
Ham and Cheese Sandwich,€7.09
Wrap Ranch Vegetarien,€7.11
Bagel Pastrami,€7.13
Circular Cup 12oz,€15.04
Cold Cup plastic noire 16oz,€10.95
Cold Cup Green Gem 16oz,€14.35
Pailles réutilisables,€6.50
Mug Onyx noire 3oz,€7.99
Mug Onyx noire 10oz,€11.02
Tumbler metal noir et vert 12oz,€21.95
Bottle Metal verte 15oz,€19.95
Reusable Cold Cup Dome Lid 16oz,€6.00
Cold Cup Soft Touch Noir 16oz,€17.95
Blonde Espresso Roast 250 gr,€8.28
Blonde Espresso Roast Nespresso Capsules,€5.08
Cake marbré noisettes,€4.38
Banana Bread,€4.31
Carrot Cake,€4.32
Cake Chocolat,€3.95
Cake Citron,€4.31
