Item,Price
10 Mini Pancakes,€2.95
3 Macarons,€3.00
Baked Roll with Cream Cheese,€2.55
Bagel with Ham and Cream Cheese,€4.65
Freshly Baked Croissant with Cheese,€2.60
Pretzel Butter,€2.15
Freshly Baked Emmental Cheese Pie,€2.09
Freshly Baked Handmade Cheese Pie with Feta,€2.66
Freshly Baked Homemade Kourou Cheesepie with Gruyere,€2.65
Vegan Pretzel,€2.22
Turkey Sandwich with Light Cheese,€4.10
Sandwich with Chicken and Sauce Caesar,€4.10
"Wrap with Turkey, Lettuce, Tomato and Avocado Spread",€4.10
Chicken Wrap with Parmesan and Green Pepper Sauce,€4.10
Turkey Toast with Kaseri Cheese,€2.95
Sandwich with Smoked Turkey and Egg Salad,€5.20
Italian dough with Mozzarela and Tomato,€3.65
Prosciutto Con Porcini Sandwich,€4.30
Vegan Nuggets Wrap,€5.50
Κέικ Καρότου με Κρέμα Τυριού,€2.98
Φρεσκοψημένο Κρουασάν Βουτύρου με Γέμιση Κρέμα 95 g,€2.45
Milk Chocolate Coin,€1.20
Biscuit with Milk Chocolate and Peanut Chunks,€2.37
Pistachio Cake,€3.67
Chocolate Cake Pop,€2.55
Freshly Baked Butter Croissant with Praline Stuffing 95 g,€2.56
Freshly Baked Butter Croissant with Cream Filling 95 g,€2.56
Freshly Baked Butter Croissant with Pistachio Filling 95 g,€2.45
Freshly Baked Butter Croissant with Apricot Filling 95 g,€2.45
Freshly Baked Butter Croissant 80 g,€2.09
Muffin with Blueberries,€3.20
Muffin with Triple Chocolate,€3.24
Μπισκότο Red Velvet,€2.50
Muffin Cheesecake,€3.10
Christmas Lava Cake,€3.95
Waffle with Sugar,€2.66
Macarons,€1.40
Pain au Chocolat,€2.05
Raspberry Cheesecake with White Chocolate,€6.09
Cinnamon Roll,€3.14
American Style Cookie with Chocolate Chunks,€2.28
Chocolate biscuit,€2.10
Donut Covered with Milk Chocolate,€1.93
Sugar Donut,€1.81
Chocοlate Filled Donut,€1.96
Lemon Cake,€2.95
Vanilla and Chocolate Cake,€2.90
4-Layer Carrot Cake,€6.09
Chocolate Brownie with Caramel,€4.16
Healthy Bites,€4.01
Chocolate Lollipops in Various Christmas Designs,€3.95
Toffee Nut Syrup,€10.95
Mini Waffles,€3.62
Protein Bar Brownie Praline,€4.10
Protein Bar Salted Caramel Bar with Chocolate Chunks,€4.12
Bar with Orange and Carob,€4.09
Cookie Boubouki,€4.04
Cookie Straw,€0.77
Butter Cookies,€1.41
Lollipop in a Shape of a Cane,€1.95
Caramel Waffles,€2.38
Mix of Roasted and Salted Dry Nuts,€2.30
Potato Chips,€1.62
Beatista Ginger Cookie,€2.36
Starbucks Milk Chocolate Coin,€1.10
Fruit Salad with Seasonal Fruit,€3.95
Caesar’s Pasta Salad,€5.66
"Yoghurt with Honey, Banana Chips and Granola",€3.65
Starbucks VIA Colombia - Instant Coffee,€8.50
Starbucks VIA Italian Roast - Instant Coffee,€8.50
Guatemala Casi Cielo,€11.95
Milano Sole,€11.95
Espresso Roast,€10.95
Decaf Espresso Roast,€10.95
Blonde Roast,€10.95
Sumatra,€10.95
Kenya,€10.95
Ethiopia,€10.95
House Blend,€10.95
Christmas Espresso Roast,€11.95
Guatemala Antigua,€10.95
Caffè Verona,€10.95
Colombia Nariño,€10.95
Christmas Blond Roast,€11.95
Pike Place Roast,€10.95
Βιολογική Λεμονάδα με Αγαύη and Πιπερόριζα,€3.10
Orangeade Epsa,€3.45
Organic Lemonade with Agave and Ginger,€3.67
Lemonade with Mango and Organic Agave,€3.61
Lemonade Epsa,€3.12
Orange juice Epsa,€2.95
Pink Lemonade Epsa,€3.05
911150249 - Ceramic Thermos Magenta 0.355 l,€24.95
91159568-Reusable Red Cup,€4.95
91159136- Stainless Steel Thermos in Gold with Pompom Charm 0.454 l,€29.95
911159186- Ornament Bearista,€7.95
"1160789- Ceramic Mug ""Athens"" with Embossed Design 0.473 l",€27.95
911159156- Stainless Steel Red Thermos with Lines 0.454 l,€29.95
"1110616 - Ceramic mug THESSALONIKI 0,414 l, ""You Are Here Collection""",€23.95
"1110618 - Ceramic mug CRETE 0,414 l, ""You Are Here Collection""",€23.95
"1110617 - Ceramic mug RHODES 0,414 l, ""You Are Here Collection""",€23.95
"1062039 - Ceramic mug MYKONOS 0,414 l, ""You Are Here Collection""",€23.95
"1059104 - Ceramic mug ATHENS 0,414 l, ""You Are Here Collection""",€23.95
"1083748 - Ceramic mug GREECE 0,414 l, ""You Are Here Collection""",€23.95
911159154- Plastic Cup Green for Cold Drinks with Ribbon Design 0.454 l,€14.95
"1094816 - Ceramic mug CORFU 0,414 l, ""You Are Here Collection""",€23.95
911159158- Green Metal Keychain-Cup,€7.95
Reusable Starbucks Cup,€2.00
"911147888 - Reusable Glasses with Logo 0,473ml",€9.95
"Mineral Water Vikos 0,5 l",€0.50
"Acqua Panna Water 0,5 l",€2.20
Natural Mineral Carbonated Water San Pellegrino 0.25 l,€4.13
"Carbonated Mineral Water Vikos 0,33 l",€2.61
