Item,Price
Pisztáciás keksz,"Ft1,190.00"
Pisztáciás muffin,"Ft1,490.00"
Matcha tea torta,"Ft1,590.00"
Fudge Brownie Iced Chocolate,"Ft2,090.00"
Fudge Brownie Hot Chocolate,"Ft2,090.00"
Iced Gingerbread Latte,"Ft2,190.00"
Mézeskalácsos minifánk,Ft690.00
Tojásos tortilla pesztóval és szárított paradicsommal,"Ft1,565.00"
"Tortilla falafellel, hummusszal és lilahagyma chutney-val","Ft1,490.00"
Tortilla grillezett csirkével és mézes-mustáros öntettel,"Ft1,566.67"
Frissen sült reggeli ajánlat,"Ft1,390.00"
Pisztáciás délutáni ajánlat,"Ft1,990.00"
Szendvics ajánlat,"Ft2,490.00"
Esti kényeztetés,"Ft1,690.00"
Vegán délutáni ajánlat,"Ft1,890.00"
Brunch menü,"Ft2,880.00"
Desszert menü,"Ft2,856.92"
Home Office menü,"Ft4,270.00"
Páros menü,"Ft8,540.00"
Brunch ajánlat schiacciatával,"Ft3,530.00"
Brunch ajánlat croissant szendviccsel,"Ft3,230.00"
Home office ajánlat schiacciatával,"Ft5,120.00"
Reggeli menü csokis muffinnal,"Ft2,791.63"
Home office ajánlat croissant szendviccsel,"Ft4,820.00"
Páros ajánlat schiacciatával,"Ft10,240.00"
Páros ajánlat croissant szendviccsel,"Ft9,640.00"
Reggeli fahéjas tekercs menü,"Ft2,821.86"
Reggeli menü áfonyás muffinnal,"Ft2,791.63"
Desszert ajánlat,"Ft3,230.00"
Latte duett,"Ft3,009.13"
Hot'n'Cold,"Ft3,009.13"
Black'n'White,"Ft2,909.13"
English breakfast tea,"Ft1,435.31"
Emperor green tea,"Ft1,435.00"
Youthberry tea,"Ft1,434.83"
Hibiscus tea,"Ft1,397.14"
Jasmin Pearl Green tea,"Ft1,430.63"
Earl grey tea,"Ft1,435.31"
Mint Citrus green tea,"Ft1,435.00"
Classic Black Tea,"Ft1,571.25"
Karamellás waffel,Ft922.09
Elefánt chips,Ft650.00
Kakaóbabos proteinszelet,Ft790.00
Starbucks csokoládé érme,Ft681.30
"Kókuszos, kakaós proteinszelet.",Ft790.00
Mogyoróvajas proteinszelet,Ft790.00
Croissant vajjal és dzsemmel,Ft840.00
Csokoládés mogyorókrémes croissant,Ft942.50
Pizzás csiga,Ft990.00
Sajtos csiga,Ft990.00
Narancsos vegán croissant,"Ft1,090.00"
Vegán citrusos croissant,Ft801.11
Epres croissant,"Ft1,090.00"
Humuszos bagett grillezett zöldségekkel,"Ft1,590.00"
Pesztós csirkés bagett,"Ft1,590.00"
Sajtos sonkás croissant,"Ft1,533.59"
Tojásos baconös croissant,"Ft1,537.37"
Három sajtos schiacciata,"Ft1,890.00"
Szalámis croissant,"Ft1,590.00"
Szalámis schiacciata,"Ft1,890.00"
"Csirkés, pestos schiacciata","Ft1,890.00"
Caprese bagett,"Ft1,590.00"
Paradicsomos mozzarellás hajtott pizza,"Ft1,590.00"
Fahéjas tekercs,"Ft1,226.36"
Epres sajttorta,"Ft1,527.78"
Vegán almás pite,"Ft1,526.67"
Étcsokoládé torta,"Ft1,390.00"
Gluténmentes eszpresszó brownie,"Ft1,190.00"
Almás pite,"Ft1,517.78"
Áfonyás muffin,"Ft1,196.82"
Créme Brulée fánk,Ft990.00
Málnás brownie,"Ft1,486.77"
Csokis-mogyorós mini fánk,Ft690.00
Gyümölcsös mini fánk,Ft690.00
Répatorta,"Ft1,530.00"
New York sajttorta,"Ft1,529.13"
Csokoládés muffin,"Ft1,194.65"
Fehércsokis mini fánk,Ft690.00
"Vegán citromos, málnás muffin","Ft1,226.96"
Keksz tejcsokoládé darabokkal,"Ft1,127.78"
Keksz fehércsokolédé darabokkal,"Ft1,127.78"
Görög joghurt kókuszos granolával,"Ft1,258.57"
Almaszeletek mogyoróvajjal,"Ft1,090.00"
Humusz zöldség szeletekkel,"Ft1,364.36"
Gyümölcssaláta,"Ft1,464.36"
"Viwa Maracuja Orange 0,6l","Ft1,091.09"
"Viwa Cranberry 0,6l","Ft1,091.09"
"Viwa Lemon Zero 0,6l","Ft1,091.09"
"Erdei gyümölcsös smoothie 0,25l","Ft1,534.83"
"Erdei gyümölcsös smoothie 0,3l","Ft1,390.00"
"Hidegen préselt gyümölcslé 0,2l","Ft1,090.00"
"Vöslauer szénsavmentes 0,75l",Ft992.17
"Hidegen préselt gyümölcslé 0,25l","Ft1,433.48"
Gyömbér citrom vitamin mix,"Ft1,253.64"
Alma-eper vitamin mix,"Ft1,256.67"
"Almalé 0,2l",Ft963.86
"Baracklé 0,2l",Ft965.56
"Narancslé 0,25l","Ft1,595.68"
Starbucks Italian Roast VIA mikroőrleményű kávé,"Ft2,390.00"
Starbucks Pike Place Roast VIA mikroőrleményű kávé,"Ft2,390.00"
Blonde Roast 250g,"Ft4,370.00"
Colombia 250g,"Ft4,383.02"
Pike Place Roast 250g,"Ft4,410.93"
Kenya 250g,"Ft4,383.02"
Sumatra 250g,"Ft4,370.00"
Caffé Verona 250g,"Ft4,350.87"
Espresso Roast 250g,"Ft4,383.02"
Decaf Espresso Roast 250g,"Ft4,410.93"
Reusable cup,"Ft1,490.00"
