Item,Price
Croissant Salato con Cotto,€5.90
Croissant Salato con Crudo,€5.90
Chocolate Cake,€6.81
Strawberry Cheesecake,€6.87
Carrot Cake,€6.90
Country Mug You Are Here Collection,€19.00
S/3 Reusable Asst. Heritage logo hot Cups,€15.00
Crème Brulée x Iced Brown Sugar Oat Shaken Espresso,€5.90
Caramel Macchiato,€4.00
"Super smoothie Kiwi, Mela, Cetriolo e Matcha",€5.00
Super smoothie Mela e Frutti Rossi,€5.00
Smoothie Fragola e Banana,€4.00
Smoothie Mango e Frutto della Passione,€4.00
Mini muffin al cioccolato gluten free,€2.50
Ticchia,€3.50
Ciambellini albicocca gluten free,€2.50
Mini muffin all'arancia,€2.50
Ciambellini ripieni di albicocca,€2.50
Spremuta d'arancia,€4.90
Cinnamon Swirl,€3.79
Girella Crema e Uvetta,€2.50
Cornetto Vegano Quinoa e Farro,€1.92
Croissant Integrale al Miele,€2.00
Pain au Chocolat,€2.00
Treccia Sciroppo d'Acero e Noci Pecan,€2.00
Croissant Francese,€1.84
Krapfen,€2.50
Triple Chocolate Muffin,€3.50
Blueberry Muffin,€3.50
Muffin Mela Cannella Ripieno al Caramello,€3.50
Bagel con Salmone,€8.47
Club sandwich al tacchino,€8.44
"Focaccia cotto, insalata, pomodoro e maionese",€7.45
Schiacciatina cotoletta plant based,€7.50
Toast ai Tre Formaggi,€6.96
Toast Classico,€6.97
Chocolate Chip Cookie,€3.00
Double Chocolate Cookie,€3.00
Red Velvet Cookie,€3.00
Caramel Crumble Brownie,€3.90
Double Chocolate Brownie,€3.90
Triple Chocolate Brownie,€3.90
Tris Mini Donut,€3.50
Donut Cioccolato,€2.90
Tris Sfere con cuore ripieno,€3.50
Caramel Donut,€2.90
Smoothie Blueberry Donut,€2.90
Smoothie Mango Donut,€2.90
Donut nocciola,€2.90
Donut fragola,€2.90
Mini donut al cioccolato,€1.50
Mini Donut Bianco,€1.50
Mini donut alla fragola,€1.50
Sfera con cuore cioccolato,€1.50
Sfera con cuore fragola,€1.50
Sfera con cuore crema di latte,€1.50
RaspberryandCoconut Loaf Cake,€3.50
Banana Loaf Cake,€3.50
Cold Brew Maker,€52.00
Cold Cup SS Dual Lid Green,€37.00
Tumbler SS Plaid Red 12oz,€36.00
Mug Lime Glaze 10oz,€11.90
Bottle SS Splash Green,€28.00
Tumbler SS Scala 12oz,€36.00
Reuse Hotcup Pumpkin Stripe 16oz,€3.00
SS Bottle Orbit Rub Black,€25.00
Tumbler SS Dash Red 16oz,€36.00
Tumbler SS Shimmer Red 16oz,€36.00
Cold Cup SS Lime Ribbed 20oz,€29.90
Cold Cup Bling Red 16oz,€20.00
Tumbler SS Plaid Texture Grn 16oz,€36.00
Bottle Orbit Green 19oz,€36.00
Cold Cup PL Clear Grid 24oz,€24.90
SS Tumbler Gray Green,€34.00
Reusable PL Cold Cup Colour Change 5 Pack 24oz,€21.90
Cold Cup Glass Red Ion Plated 18oz,€30.00
Cold Cup Grid Green,€12.00
Cold Cup Diamonds Blue 16oz,€20.00
Bottle SS Soft Touch Royal Blue 18oz,€17.90
Cold Cup Red Bubbles 16oz,€20.00
Keychain Enamel Reusable Hot Cup,€8.00
Tumbler PL Lime Soft Touch 16oz,€15.90
Cold Cup  Bling Gold Ultra 16oz,€20.00
Keychain Enamel Reusable Cold Cup,€8.00
Tumbler PL Sky Blue 16oz,€15.90
Reusable Cold Cup,€5.00
Reusable Cold Cup Glitter Set/5 24oz,€20.00
Cold Cup PL Ombre Waves 20z,€14.90
Tumbler Luxor Matte Black 16oz,€18.00
Bottle Herringbone Green 15oz,€18.00
Mug Reindeer Wht 12oz,€18.00
Mug Tri Colour Red 12oz,€18.00
Reusable Cup Core,€2.00
Keychain Strawberry Whip,€4.90
Mug Dottie Red 12oz,€18.00
Keychain Fucshia Purple Cup,€4.90
Mug Tower Connection Blk,€15.00
Keychain Dome Ombre Waves,€4.90
Circular Cup,€15.00
Espresso Tri Colour Red 4oz,€14.00
Mug Siren Stone Gray,€12.00
Cold Cup Plastic Matte Black 12oz,€9.00
Ornament Hot Cup Red 2023,€9.00
Ornament Reindeer Wht,€9.00
Ornament Hot Cup Swirl Red,€9.00
Mug Onyx Black 10oz,€8.00
Keychain Hot Cup Red White Stripe,€8.00
Keychain Cold Cup Red Dash,€8.00
Pins Hot Cups Set 3,€8.00
"Reusable Gld/Slv Color Change Hot Cup, 16oz",€6.00
Mug Siren Stone Gray 3oz,€5.00
Mug Onyx Black 3oz,€5.00
Reusable Hot Cup Red Metallic 16oz,€4.00
Reusable Cold Cup Dome Lid,€3.00
Reusable Cup,€2.00
Yogurt con Miele Millefiori,€4.42
Yogurt con Confettura di Frutti di Bosco,€4.42
Birra Bionda 4 Luppoli,€6.00
Chinotto,€3.79
"Infuso ananas, limone e menta",€4.44
Aranciata Rossa,€3.79
Infuso lampone e limone,€4.42
Limonata,€3.78
Acqua Gassata,€1.95
Gazzosa,€3.80
Acqua Naturale,€1.95
Fa-blu-lo-so,€4.00
Rosa a iosa,€4.00
Succo d'arancia bionda,€4.00
Starbucks Blonde Roast,€5.50
Starbucks Pike Place Roast Capsule Nespresso,€5.50
Starbucks Blonde Espresso Roast Capsule Nespresso,€5.50
Starbucks Pike Place,€5.50
Colombia Nariño Capsule Nespresso,€5.50
Decaffeinato Espresso Roast,€5.50
Deca Starbucks Espresso Roast Capsule Nespresso,€5.50
Colombia Nariño,€5.50
Tramezzino Salmone e Avocado,€6.47
Tramezzino Melanzane e Zucchine,€6.00
"Tramezzino Tacchino, Zucchine e Provola",€6.00
"Tramezzino Porchetta, Arrosto e Funghi",€6.00
Insalatona Mediterranea,€8.90
Roasted and Salted Mixed Nuts,€2.50
Piadatina,€3.50
Caramel Waffle,€2.45
Mixed Fruit and Nuts,€2.50
All Butter Shortbread Biscuits,€2.40
Snack di Formaggio - Classico,€1.07
Milk Chocolate Gold Coin,€1.51
Snack di Formaggio,€1.50
Cookie Straw,€1.00
Kettle,€49.00
Pour Over Brew Glass,€49.00
Brew Press,€25.00
V60 – Pour Over White,€19.00
Blonde Roast 250gr,€9.44
Ethiopia 250gr,€9.43
Starbucks Christmas Blonde RoastTM,€9.90
Pike Place 250gr,€9.44
Odissey Blend 250gr,€9.90
House Blend 250gr,€9.42
Decaffeinato Espresso Roast 250gr,€9.41
