Item,Price
Té en Caja Hibiscus,$200.22
Té en caja Youthberry,$260.95
Té en caja Emperors CandM,$200.21
Té en caja Chai,$200.23
Kenya 250 grs.,$244.19
Peru Chunqui,$288.22
Espresso Roast 250 grs.,$207.07
Verona 250 grs.,$242.74
Hatsu Mora Azul y Granada,$70.81
Galleta Decorada (60 g),$55.69
Hatsu Blanco Mangostino,$70.42
Hatsu Flor de Cerezo,$70.82
Perrier and Juice Fresa Kiwi,$51.52
Galletas de Almendra con chispas de chocolate,$58.87
Jugo Wow Naranja,$76.50
Hatsu Rainbow,$72.16
Brownie de chocolate con chispas,$51.31
Jugo Wow Tropical,$76.29
Casa del Agua: Gasificada,$54.99
Chips de camote,$48.05
Galleta de Manjar,$54.45
Casa del Agua: Natural,$54.60
Wafers de Chocolate,$52.31
Pudín de cacao,$58.11
Brownie de chocolate,$49.59
Nueces and Frutos secos,$52.66
Aranchiatta,$55.78
Croissant de Mantequilla,$54.74
Breizh N Roll,$53.92
Croissant con Pechuga de Pavo y Queso,$84.33
Breizh''N''Roll,$56.69
Croissant Jamón Serrano y Queso,$97.95
Croissant Multigrano,$48.95
Cronut chocolate,$58.27
Trenza de Maple,$58.39
Trenza Napolitana,$49.60
Croissant Jamón y Queso,$77.84
Croissant Mantequilla,$51.83
Pan de Chocolate,$58.08
Bretzel de Chocolate,$48.95
Mini Hojaldre de Frutas,$25.67
Cheesecake Roulet,$58.37
Croissant de Multigrano,$58.57
Croissant con Pechuga y Queso,$92.94
Baguette Notchicken con guacamole,$122.45
Baguette Notburger con guacamole,$122.52
Sándwich pechuga guacamole,$122.58
Descubre una nueva opción para Desayunar,$95.94
Descubre una nueva opción para tu Tarde,$132.63
Ensalada Cesar,$122.23
Avena con Chía,$58.33
Yogurt Natural,$64.49
Fruta Mixta,$57.03
Toronja Natural en Gajos,$57.46
Wellby Cereza,$55.23
Brownie De Chocolate 43 G,$54.14
Mix Enchilado 60 G,$59.08
Madeleines,$62.43
Cookie Straw 18 G,$26.59
Very Durazno 500 Ml,$71.82
Fibra Snack Bits,$56.27
Waffle Tradicional,$62.35
Nueces Y Frutos Secos 60 G,$59.57
Ensalada de Frutos Rojos,$98.12
Yogurt Natural con Fresa y Mora Azul,$56.20
Brownie De Chocolate Con Chispas 70 G,$56.88
Galleta Dulce De Leche 115 G,$66.07
Tejas de Almendra,$51.79
Galleta Dulce De Leche,$62.13
Galleta De Avena Con Arándanos 75 G,$66.21
Galleta de Chocolate,$50.85
Galleta De Avena Con Arándanos,$62.20
Waffle Tradicional 90 G,$66.60
Galleta s/ Azúcar añadida,$49.49
Casa Del Agua: Gasificada 355 Ml,$58.63
Tejas De Almendra 50 G,$59.67
Nueces y Frutas Secas,$48.24
Jugo Wow Frutos Rojos,$76.57
Galleta con arándanos y chocolate blanco,$56.68
Biscottis,$54.90
Barras Saludables KIND,$54.10
Agua Evian Nude,$57.76
Panqué De Plátano Con Nuez,$58.52
Panqué De Plátano Con Nuez 80 G,$61.69
