Item,Price
Freshly Baked Mini,zł19.98
Muffin Pistacjowy,zł12.51
Donut pistacjowy,zł9.50
Tarta Musso Pistachio,zł18.90
Ciastko pistacjowe,zł11.50
Ciasto Miodowe,zł18.81
Ciasto Piernikowe,zł18.90
Red Velvet Cookie,zł11.90
Przebojowy duet,zł20.25
Chrupiące Przyjemności,zł24.54
Chwila dla Ciebie,zł26.39
Home Office,zł34.18
Słodka Przerwa,zł22.27
Starbucks Classic,zł25.48
Croissant kakaowo-orzechowy,zł9.51
Croissant pistacjowy,zł10.76
Croissant Choco,zł6.90
Wegański croissant z pomarańczą,zł8.35
Croissant Migdał,zł9.18
Croissant Maślany,zł8.21
Croissant Serowy,zł9.49
Croissant Malina,zł9.77
Focaccia Caprese,zł17.14
Croissant SerandSzynka,zł15.90
Bajgiel Salami,zł18.49
Bajgiel Jajko and Bekon,zł18.16
Croissant Kozi Ser,zł15.03
Croissant Ser and Salami,zł12.84
Croissant CottoandGouda,zł15.95
Focaccia Shoarma,zł17.13
Croissant Lazur,zł17.90
Kanapka Roślinna,zł18.90
Kanapka Zimowa,zł18.90
Szarlotka,zł16.03
Jabłecznik z karmelem,zł17.60
Matcha Tea and Yuzu Cake,zł15.90
Ciasto Marchewkowe,zł18.73
Sernik Nowojorski,zł17.20
Muffin Czekoladowy,zł9.90
Sernik z truskawkami,zł17.20
Gofr belgijski,zł9.90
Ciastko czekoladowe,zł7.90
Tarta czekoladowa z malinami,zł16.20
Brownie z malinami,zł12.90
Jogurt Crunchy Mango,zł11.74
Jogurt Crunchy Malina,zł10.97
Muffin Jagodowy,zł11.33
Muffin kakaowy,zł11.51
Sernik z brzoskwiniami,zł16.90
Ciastko kakaowe z kawałkami czekolady,zł11.22
Bułeczka cynamonowa,zł10.79
Donut Mango,zł8.50
Donut Lotus Biscoff,zł8.48
Wegańskie ciasto czekoladowe z gruszką,zł14.90
Jogurt Jagodowy,zł11.90
Jogurt Mango,zł11.90
Kapsułki Espresso Roast,zł37.78
Kapsułki Colombia,zł37.73
Kapsułki Pike Place Roast,zł37.73
Kapsułki Blonde Roast,zł37.85
Raw Bite Smooth Cacao,zł12.90
Bio Lemoniada,zł13.58
Raw Bite JabłkoandCynamon,zł12.90
Ciastko Korzenne w kształcie Latte,zł10.90
Bio Cola,zł12.38
Czekoladki z ciemną czekoladą i masłem orzechowym,zł8.90
Musujące JabłkoandPomarańcza,zł10.90
Wafel karmelowy,zł7.79
Musujące Jabłko,zł10.90
Ciastko Korzenne Miś,zł10.90
Batonik z mlecznej czekolady,zł7.90
Musujące JabłkoandMięta,zł10.90
Batonik z ciemnej czekolady,zł7.90
Ciasteczko z karmelizowanymi orzechami włoskimi i dynią,zł10.90
"Sok Tłoczone JabłkoandPomarańcza 0,25 l",zł8.90
"Sok Tłoczone Jabłko 0,25 l",zł8.90
Czekoladowa moneta,zł5.90
"Kinga Pienińska Niegazowana 0,5 l",zł6.90
"Kinga Pienińska Gazowana 0,5 l",zł6.90
Rawbite orzechy nerkowca,zł12.90
Kulki pistacjowe,zł12.90
"Kinga Pienińska Naturalna 0,5 l",zł6.90
Pike Place Roast 250 g,zł47.62
Sun-Dried Brazil Carmo De Minas 250 g,zł49.00
Espresso Roast 250 g,zł47.62
Blonde Roast 250 g,zł47.61
Caffé Verona 250 g,zł47.64
House Blend 250 g,zł38.93
Sumatra 250 g,zł38.93
Colombia Nariño 250 g,zł38.93
Guatemala Antigua 250 g,zł47.64
Decaf Espresso Roast 250 g,zł47.58
Ethiopia 250 g,zł38.93
Kenya 250 g,zł47.28
