Item,Price
Húmus de Beterraba,€3.40
Guatemala Antigua,€8.42
Pike Place Roast,€8.49
Ethiopia,€8.45
House Blend,€8.45
Espresso Roast Decaf,€8.49
Kenya,€8.49
Verona,€8.49
Colombia Nariño,€8.53
Sumatra,€8.49
Starbucks Blonde Espresso,€8.53
Espresso Roast,€8.49
Cápsulas Verona,€6.91
Cápsulas House Blend,€6.77
Cápsulas Espresso Decaf,€6.91
Cápsulas Sumatra,€6.87
Cápsulas Colombia,€6.94
Cápsulas Espresso Roast,€6.91
Cápsulas Starbucks Blonde Espresso,€6.94
Cápsulas Pike Place,€6.87
4x3 Cápsulas Espresso Starbucks,€19.24
Bolo de Cenoura,€4.51
Cheesecake de Framboesa,€4.49
Tarte Mango e Yuzu,€4.36
Bolo de Chocolate,€4.52
Copo Reutilizável,€5.00
Circular Cup,€23.83
Portugal Tumbler,€13.00
Portugal Mug,€16.90
Cookie de Chocolate Sem Glúten,€2.65
Gluten Free - Sanduíche frango e bacon,€5.90
Muffin de baunilha Sem Glúten,€2.94
Menu Double,€15.00
Menu Single,€9.00
Focaccia Provençal,€5.67
Bagel Misto,€3.83
Panini Barbecue,€5.50
Toastie Vegan,€5.90
Egg Sandwich Italiana,€5.33
Sanduíche de presunto,€4.78
Bloomer Peru e Cebola Caramelizada,€5.30
Focaccia Frango Pesto,€5.30
Croissant Misto,€3.54
Sanduíche de atum com bayo mayo,€5.06
Toastie 5 Queijos,€4.95
Sanduíche Club Gourmet,€5.90
Sanduíche fiambre e dois queijos,€4.83
Wrap Espinafres e Tortilha,€4.73
Wrap Frango e Abacate,€4.77
Raspberry Loaf,€3.40
Iced Mocha Branco,€4.00
Mocha Branco,€4.00
Iced Mocha,€4.00
Toastie Fiambre and Queijo,€4.78
Egg Sandwich,€5.43
Frappuccino Caramelo,€5.50
Vitality,€6.00
Berry,€6.00
Positive,€6.00
Smoothie Antioxidante,€4.20
Smoothie Energy,€4.20
Innocent Berry Set Go,€3.90
Smoothie Tropical,€4.20
Água de Coco,€3.89
Água Mineral 75 PT,€2.80
Green Veggie,€3.93
Água Mineral 750ml,€2.80
Água das Pedras Limão,€2.50
Ginger Shot,€3.46
Kombucha Limão and Menta,€3.75
Água das Pedras,€2.40
Limonada,€3.74
Detox Juice,€3.78
Fresh Juice,€3.64
Innocent Blue Spark,€3.86
Innocent Keen Green,€3.86
Lemonade Mint,€2.97
Água Mineral 50 PT,€2.50
Bolo de Limão,€3.13
Roll Canela,€3.25
Glaseado Chocolate,€1.70
Cinnamon Roll,€3.09
Glaseado Choco Crunh,€2.07
Glaseado,€1.79
Tachinho do Abade,€1.79
Glaseado Blueberry,€2.08
Queijada de Amêndoa,€1.79
Pop Dot Triple Chocolate,€1.70
Pop Dot Candy,€1.70
Brownie Chocolate,€3.12
Croissant,€1.95
Bagel Queijo Creme,€2.50
Bagel Cereais,€2.50
Empada de Carne,€2.06
Quiche de Espinafres,€2.60
Muffin de chocolate,€2.90
Muffin de Mirtilos,€2.90
Cookie Chocolate Chip,€2.59
Cookie Double Chocolate,€2.60
Cookie Chocolate Branco com macadâmia,€2.49
Cookie Chocolate Branco e macadâmia,€2.67
Salada Fusilli Caprese com manjericão,€5.90
Berry Bowl,€4.90
Saco,€0.10
Biscoito de gengibre Bearista,€2.63
Fruits and Nuts,€2.15
Biscoito de gengibre Iced Coffee,€2.61
Bagel Pastrami e creme de abacate,€5.66
Biscotti,€1.32
Meteorites Candy,€2.30
Pop Corn Sweet and Salty,€2.07
Batatas fritas com sal,€2.18
Bolachas de manteiga,€2.50
Cookie Straw,€1.29
Bolachas Chocolate Preto e creme de amendoim,€2.50
Fruit and Nuts,€1.80
Barrita Chocolate 70% Cacau 25g,€2.08
Batatas fritas com vinagre de modena,€2.18
Caramel Waffle,€3.04
Barrita Chocolate com leite 25g,€2.04
Barrita Chocolate branco 25g,€2.02
Pop Corn sal dos himalaias,€2.20
