Item,Price
Mic dejun american,lei35.60
Coffee Duet,lei35.00
Mic dejun clasic,lei31.00
Autumn Blend 2024 250Gr,lei64.90
Chec cu dovleac,lei15.90
Rulou cu feta și spanac,lei13.90
Cake Pop cu aromă de ciocolata,lei13.52
Cake Pop cu aromă de capsuni,lei13.54
Rulou cu scorțișoara,lei15.90
Croissant cu brânză,lei12.90
Croissant cu cacao,lei12.90
Croissant vegan cu umplutură de zmeură,lei12.90
Croissant umplut cu brânză,lei12.90
Croissant umplut cu crema de migdale,lei12.90
Croissant cu umplutură de cacao și alune de pădure,lei12.90
Croissant cu unt,lei11.90
Smoothie Avonation,lei16.90
Smoothie Mango Punch,lei16.90
Smoothie Very Strawberry,lei16.90
Limonadă cu Spirulină,lei16.90
Juice Mango Ninja,lei16.90
Shot cu ghimbir,lei11.90
Raw Shot Vitamina C,lei11.90
Raw Shot Cătină,lei11.90
Focaccia Mozzarella,lei21.90
Focaccia cu Prosciutto Crudo si parmezan,lei21.90
Sandwich cu omletă și bacon,lei19.90
Tort cu cremă bogată de ciocolată,lei22.90
Prăjitură vegană cu mere,lei20.90
Prăjitură cu cremă de brânză și căpșune,lei22.90
Tort cu morcovi cu cremă de brânză,lei22.90
Brioşă cu morcovi,lei15.90
Brioșă vegană cu lămâie și zmeură,lei15.90
Ruladă cu scorțișoară,lei14.90
Gogoașă cu aroma de bubble gum,lei13.90
Biscuit cu ciocolată neagră,lei13.90
Biscuit cu trei tipuri de ciocolată,lei13.90
Gogoașă cu ciocolată neagră,lei13.90
Gogoașă umplută cu cremă de vanilie,lei13.90
Gogoașă cu umplutură de zmeură și caș,lei13.90
Gogoașă cu zahăr,lei12.90
Croissant cu șuncă și brânză,lei18.90
Fursec cu vanilie,lei11.90
Fursec cu migdale,lei11.90
Fursec cu chia și lămâie,lei11.90
Ciocolată neagră,lei8.90
Ciocolată neagră cu unt de arahide,lei8.90
Ciocolată cu lapte,lei8.90
Biscuiti cu unt,lei6.90
Gogoaşă cu vanilie,lei13.90
Gogoaşă cu cacao,lei13.90
Broişă vegană cu lămâie şi zmeură,lei16.90
Brioșă cu afine,lei16.44
Brioșă cu ciocolată,lei16.44
Bio Cola Zero,lei15.90
Bio Cola,lei15.90
Limonada Bio,lei15.90
Oranjada Bio,lei15.90
Apa Minerală Plată,lei10.90
Apă Minerală Carbogazoasă,lei10.90
Guatemala Casi Cielo 250g,lei59.90
Spring Season Blend 2024 250gr,lei58.47
Colombia Nariño 250 g,lei49.90
Kenya 250g,lei49.90
Sumatra 250g,lei49.90
Blonde Roast 250 g,lei44.90
Caffé Verona 250g,lei44.90
Espresso Roast 250g,lei44.90
Pike Place Roast 250g,lei44.00
Espresso Roast Decaf 250g,lei44.00
Fursec cu ciocolată,lei14.90
Fursec cu doua feluri de ciocolată,lei14.90
Vanilla Chocolate Cookie,lei11.90
Tort de ciocolată,lei22.90
Chec cu banane,lei14.90
Chec cu lămâie,lei15.53
Starbucks Blonde Espresso Roast,lei30.00
Single-Origin Colombia,lei30.00
Prajitură cu morcovi,lei22.90
Cheesecake cu căpşune,lei22.90
Sandwich cu șnițel de pui,lei22.90
Porție 3 clătite americane,lei15.73
"Nuci, fructe uscate și migdale caramelizate",lei8.90
Nuci prăjite și sărate,lei8.90
Napolitană cu caramel,lei8.90
Moneda de ciocolata,lei7.90
Franui raspberries in white chocolate and dark chocolate,lei39.95
Franui raspberries in white chocolate and milk chocolate,lei39.96
Bar protein coconut 50g,lei17.90
Bar salted caramel 50g,lei17.90
Bar white chocolate and raspberry  50g,lei17.90
Chips with pea protein with cheese and onion flavor 60g,lei17.90
Bar chocolate hazelnut bio 34g,lei15.90
Bar raw vegan cacao and coconut 35 g,lei12.90
Bar raw-vegan with raspberry 35g,lei12.90
Bar raw vegan with peanuts  35g,lei12.90
Dark Chocolate Sour Cherries,lei12.90
Almond Caramel Cookie,lei11.90
Chia Lemon Cookie,lei11.90
Dark Chocolate and Peanut Butter Cups,lei8.90
Praline Bar Milk Chocolate,lei8.90
Praline Bar Dark Chocolate,lei8.90
Pike Place Roast,lei38.42
Sumatra,lei49.90
Kenya,lei49.90
Espresso Roast,lei38.13
Guatemala Antigua,lei49.90
Decaf Espresso Roast,lei44.90
Verona,lei44.90
Blonde Espresso Roast,lei44.90
