Item,Price
Guatemala Antigua 250g,R200.00
Colombia Nariño 250g,R200.00
Caffé Verona 250g,R200.00
Starbucks Blonde Espresso Roast 250g,R200.00
Decaf Espresso Roast 250g,R200.00
Pike Place Roast 250g,R200.00
Espresso Roast 250g,R200.00
House Blend 250g,R200.00
Kenya 250g,R200.00
Sumatra 250g,R200.00
Iced Latte (Tall),R48.00
Iced Latte (Grande),R54.00
Iced Latte (Venti),R65.00
Iced Caramel Macchiato (Tall),R58.00
Iced Caramel Macchiato (Grande),R62.00
Iced Caramel Macchiato (Venti),R72.00
Iced White Mocha (Tall),R56.00
Iced White Mocha (Grande),R62.00
Iced White Mocha (Venti),R67.00
Iced Mocha (Tall),R54.00
Iced Mocha (Grande),R60.00
Iced Mocha (Venti),R65.00
Iced Americano (Tall),R40.00
Iced Americano (Grande),R44.00
Iced Americano (Venti),R50.00
Cold Brew (Tall),R48.00
Cold Brew (Grande),R53.00
Cold Brew (Venti),R63.00
Cold Brew Latte (Tall),R53.00
Cold Brew Latte (Grande),R58.00
Cold Brew Latte (Venti),R70.00
City  Mug - Cape Town 14oz,R666.00
Country Mug - South Africa 14oz,R666.00
City Mug - Durban 14oz,R666.00
City Mug - Pretoria 14oz,R666.00
City Mug - Johannesburg 14oz,R666.00
YAH South Africa Tumbler 16oz,R303.00
Blonde Nespresso,R145.00
Espresso Nespresso,R145.00
Pike Place Nespresso,R145.00
Colombia Nespresso,R145.00
Decaf Espresso Nespresso,R145.00
Caramel Frappuccino (Tall) (Frappuccino® Blended Coffee),R68.00
Caramel Frappuccino (Grande) (Frappuccino® Blended Coffee),R72.00
Caramel Frappuccino (Venti) (Frappuccino® Blended Coffee),R79.00
Coffee Frappuccino (Tall),R63.00
Coffee Frappuccino (Grande),R68.00
Coffee Frappuccino (Venti),R76.00
Java Chip Frappuccino (Tall),R71.00
Java Chip Frappuccino (Grande),R75.00
Java Chip Frappuccino (Venti),R82.00
White Mocha Frappuccino (Tall),R68.00
White Mocha Frappuccino (Grande),R72.00
White Mocha Frappuccino (Venti),R79.00
Mocha Frappuccino (Tall),R68.00
Mocha Frappuccino (Grande),R72.00
Mocha Frappuccino (Venti),R79.00
Espresso Frappuccino (Tall),R63.00
Espresso Frappuccino (Grande),R68.00
Espresso Frappuccino (Venti),R76.00
Reusable Core Hot Cup 16oz,R48.00
Tumbler SS Luxor Matte Black 16OZ,R557.00
Cold Cup Plastic Timi Matte Black 12OZ,R272.00
Tumbler Plastic Patterned Green 16OZ,R351.00
Bottle SS Siren's Scales Dark Green 20OZ,R454.00
Mug Bloc Dark Green 11OZ,R230.00
Mug Bloc Black 11oz,R230.00
Tumbler SS Robi Black 12OZ,R466.00
Kenya French Press 8-cup,"R1,041.00"
Mug Onyx Black 3oz,R224.00
Mug Onyx Black 10OZ,R303.00
Reusable Core Cold Cup Dome Lid 16oz,R85.00
Reusable Cold Cup Loops Dome Lid 16oz (Retail Merchandise),R73.00
