Item,Price
Marble Loaf Cake,CHF4.98
Butter Croissant,CHF2.47
Cinnamon Roll,CHF5.16
Pain au Chocolat,CHF3.43
Belgian Waffle,CHF5.16
Birchermüesli,CHF6.90
Superfood Müesli,CHF7.72
Espresso Roast 250g,CHF9.50
Pike Place Roast 250g,CHF9.50
House Blend 250g,CHF9.50
Caffé Verona 250g,CHF9.50
Blonde Roast 250g,CHF9.50
Espresso Roast Capsules,CHF5.70
Blonde Roast Capsules,CHF5.70
Colombia Capsules,CHF5.70
Pike Place Capsules,CHF5.70
Décaf Espresso Roast Capsules,CHF5.70
Carrot Muffin,CHF5.08
Focaccia Margherita,CHF9.93
Vegan Filet Stripes and Vegetable Focaccia,CHF9.95
Chipotle Chicken Baguette,CHF8.90
Turkey and Cream Cheese Bagel,CHF9.90
Double Chocolate Cookie,CHF4.23
Cream Cheese Bagel,CHF5.77
Salmon Bagel,CHF7.83
Ham and Cheese Croissant,CHF7.63
Mango Dragonfruit Starbucks Refresha Drink,CHF8.90
Chocolate lovin' Spoon Cake,CHF7.50
Croissant Roll - Bacon and Egg,CHF7.85
Evian Still Water,CHF5.45
Orangensaft,CHF6.47
Innocent Plus Smoothie Energise,CHF7.86
Innocent Plus Smoothie Antioxidant,CHF7.86
Jus d'orange,CHF6.63
Carrot Cake,CHF7.50
New York Cheesecake,CHF6.91
Banana Bread,CHF5.16
Raspberry Cheesecake,CHF6.89
Lemon Loaf Cake,CHF5.16
Blueberry Muffin,CHF5.16
Triple Chocolate Muffin,CHF5.16
Vanilla Donut,CHF4.54
Cookies and Cream Brownie,CHF4.38
Chocolate Brownie,CHF4.30
Chocolate Chunk Cookie,CHF4.14
Smoothie Blueberry Donut,CHF4.50
Lemon Raspberry Muffin,CHF5.20
