Item,Price
Five Cheese Toastie,£5.77
Tuna Melt Panini,£5.75
Hickory Ham and Cheese Toastie,£5.28
Oak Smoked Ham and Cheese Toastie,£6.19
Free Range Egg and Mayo Sandwich,£3.16
Mozzarella and Tomato Pizzetta,£7.14
Cheese and Marmite Mini Ciabatta,£4.10
Gluten Free Ham and Cheese Panini,£5.34
Milk Chocolate Bar,£1.71
Kettle Chips Lightly Salted,£1.50
Gluten Free Fruit and Nut Bar,£2.72
Kettle Chips Sea Salt and Balsamic Vinegar,£1.50
Kettle Chips Mature Cheddar and Red Onion,£1.50
Cookie Straw,£1.20
Kettle Chips Sweet Chilli and Sour Cream,£1.50
Almond Biscotti,£1.84
Iced Gingerbread Biscuit,£2.33
Ginger Biscuits,£2.08
All Butter Shortbread Biscuits,£2.03
Starbucks Milk Chocolate Gold Coin,£1.14
Mixed Fruits and Nuts,£1.83
Roasted and Salted Mixed Nuts,£1.82
Large Caramel Waffles,£2.01
Mini Waffles,£4.40
Pain au Chocolat,£2.74
Ham and Cheese Croissant,£4.78
Signature Breakfast Sandwich,£5.48
Chocolate Twist,£2.87
Classic Oatmeal,£3.57
Butter Croissant,£2.60
Smoked Bacon Roll,£4.84
Almond Croissant,£2.72
Berry Crunch,£2.95
Egg Bites with Red Pepper and Spinach,£4.65
Egg Bites with Three Cheese and Ham,£4.67
Traditional Sausage Sandwich,£4.99
All Day Breakfast Wrap,£5.19
Mango Pot,£3.44
Chocolate Chunk Shortbread,£2.36
Cinnamon Swirl,£3.40
Banana Bread,£3.02
Chocolate Caramel Shortbread,£2.79
Lemon Muffin,£2.61
S'mores Muffin,£3.52
Lemon Loaf Cake,£3.25
Cookies and Cream Brownie,£2.50
Lemon Loaf,£3.06
Trio of Favourites,£5.46
Chocolate Chunk Cookie,£2.90
Birthday Cake Cookie,£2.18
ONE Water 500ml Still,£2.26
"Innocent Bubbles Lemon, Lime and Apple 150ml",£2.76
Juicy Water Raspberries and Apples 150ml,£2.70
Still Lemonade 330ml,£3.19
ONE Water 500ml Sparkling,£2.26
Raspberry Lemonade 330ml,£3.19
ONE Water 750ml Still,£2.69
DASH Water Sparkling Cucumber 330ml,£2.84
DASH Water Sparkling Peach 330ml,£2.84
Remedy Cherry Plum Kombucha 250ml,£3.19
Remedy Mango Passion Kombucha 250ml,£3.19
Cloudy Apple Juice 250ml,£2.82
Pip Organic Blackcurrant Raspberry and Apple Juice with Spring Water 180ml,£2.33
Coconut Water 330ml,£2.77
"Kiwi, Pineapple and Lime Smoothie 250ml",£2.78
Turmeric Shot 100ml,£2.77
Mango and Passionfruit Smoothie 250ml,£2.89
Smooth Orange Juice 500ml,£4.16
"Banana, Raspberry and Blueberry Smoothie 250ml",£2.89
Smooth Orange Juice 250ml,£2.85
"Innocent Kids Smoothie - Strawberry, Raspberries and Apple",£1.91
"Innocent Kids Strawberries, Raspberry and Apple 150ml",£1.91
Ginger Shot 100ml,£2.77
Green Palms Tumbler 16oz,£14.41
Reusable Cold Cup 24oz,£6.50
Textured Cold Cup 16oz,£12.06
Pink Cold Cup 16oz,£14.64
Green Palms Bottle 23oz,£14.43
Black Mug 10oz,£11.79
Reusable Colour Changing Cold Cup 24oz,£6.64
Reusable Geo Cold Cup 16oz,£4.56
Reusable Colour Changing Cup 24oz Set of 5,£25.27
Reusable Hot Cups Set,£12.50
Gem Green Cold Cup 16oz,£13.84
Reusable Cold Cup Dome Lid 16oz,£3.85
Mug Siren Stone Gray 3oz,£6.62
Mug Siren Stone Gray 12oz,£9.02
Keychain Cold Cup Gold Detail,£4.83
Keychain Cold Cup Green Sequins,£4.82
Reusable Straw Set with Brush in Grid Zipper Pouch,£7.16
Cold Cup Keychain,£5.84
Tumbler made from Paper Cups,£14.60
Reusable Water Bottle,£5.48
Cold Cup Plastic Timi Matte Black 12oz,£13.18
Matte Black Tumbler with Green Band 12oz,£23.27
House Blend 250g,£5.50
Decaf Espresso Roast Nespresso Capsules,£5.75
Guatemala Antigua 250g,£6.00
Starbucks Blonde Espresso Roast Nespresso Capsules,£5.79
Ethiopia 250g,£5.96
Caffè Verona 250g,£5.49
Espresso Roast Nespresso Capsules,£5.84
Kenya 250g,£6.00
Pike Place Roast Nespresso Capsules,£5.87
Colombia Nariño 250g,£6.00
Colombia Nespresso Capsules,£5.78
Pike Place Roast 250g,£5.48
Sumatra 250g,£5.55
Decaf Espresso Roast 250g,£5.58
Espresso Roast 250g,£5.56
House Blend Dolce Gusto Capsules,£5.85
Siren's Blend 250g,£5.83
Cappuccino Dolce Gusto Capsules,£5.91
Caramel Macchiato Dolce Gusto Capsules,£5.89
Starbucks Blonde Espresso Roast 250g,£5.64
Pike Place VIA Ready Brew,£6.00
House Blend VIA Ready Brew,£6.01
Colombia VIA Ready Brew,£5.99
Italian Roast VIA Ready Brew,£5.99
Pike Place VIA Instant Capsules,£5.97
House Blend VIA Instant Capsules,£5.99
Colombia VIA Instant Capsules,£5.99
Italian Roast VIA Instant Capsules,£6.01
Coronation Chicken Sandwich,£5.00
Miso and Caramel Brownie Bite,£1.62
Iced Raspberry Swirl,£3.31
Cookies and Cream Brownie Bite,£1.63
White Chocolate and Raspberry Blondie,£2.47
White Chocolate and Raspberry Blondie Bite,£1.63
Cuban-style Panini,£5.57
Pistachio and Raspberry Loaf Cake,£3.18
Spinach and Pea Falafel Wrap,£4.89
Chicken Caesar Wrap,£4.83
"Chicken, Monterey Jack and Red Pepper Sandwich",£4.47
Steak and Cheese Panini,£6.20
Strawberry and Cream Muffin,£3.01
Mango and Passion Fruit Coconut Yog Pot,£2.81
"Chicken, Mozzarella and Pesto Focaccia",£6.36
Red Leicester Cheese and Pickle Sandwich,£3.85
Watermelon,£4.36
Ham and Egg Sub Roll,£5.25
Smoked Turkey and Cheddar Cheese Sandwich,£4.32
Forget-Me-Not Frappuccino,£5.61
Iced Caffè Latte,£3.36
Pumpkin Spice Latte,£4.25
Caffè Latte,£3.36
Iced Pumpkin Spice Latte,£4.25
Iced White Chocolate Mocha,£4.31
Iced Caffè Mocha,£3.84
Caffè Mocha,£3.84
White Chocolate Mocha,£4.31
Iced Caramel Macchiato,£4.17
Iced Mocha Praline Macchiato,£4.15
Caffè Americano,£3.03
Iced Caffè Americano,£3.03
Hazelnut Signature Hot Chocolate,£4.21
Caramel Signature Hot Chocolate,£4.21
Starbucks® Signature Hot Chocolate,£3.84
Classic Hot Chocolate,£3.61
Freshly Brewed Coffee,£2.16
Cold Brew,£3.41
Cold Brew Latte,£3.64
Caffè Misto,£2.67
Teavana™ - Earl Grey Tea,£2.76
Teavana™ - Youthberry Tea,£2.76
Teavana™ - Mint Citrus Tea,£2.76
Teavana™ - Emperor's Clouds & Mist Tea,£2.76
Teavana™ - English Breakfast Tea,£2.76
Teavana™ - Chamomile Herbal Blend,£2.76
Teavana™ - Hibiscus Herbal Blend,£2.76
Teavana™ - Jasmine Pearls Tea,£2.76
Teavana™ - Chai Tea,£2.76
Teavana™ - Mint Herbal Blend,£3.05
Vanilla Matcha Tea Latte,£4.43
Chai Tea Latte,£3.88
Matcha Green Tea Latte,£3.88
Iced Shaken Hibiscus Infusion,£3.19
Iced Shaken Hibiscus Infusion & Lemonade,£3.41
Iced Shaken Black Tea & Lemonade,£3.41
Peach Citrus Green Tea - Shaken Iced Tea,£3.73
Blackberry Mojito Green Tea - Shaken Iced Tea,£3.73
Iced Shaken Black Tea,£3.19
Iced Shaken Green Tea,£3.19
Blood Orange - Frozen Iced Tea,£4.08
Iced Shaken Green Tea & Lemonade,£3.41
Tropical Mango - Frozen Iced Tea,£4.08
Iced Chai Tea Latte,£3.88
Iced Matcha Green Tea Latte,£3.88
Iced Vanilla Matcha Tea Latte,£4.43
Java Chip Frappuccino,£4.28
Caramel Frappuccino,£4.28
Mocha Frappuccino,£4.28
Espresso Frappuccino,£3.98
Coffee Frappuccino,£3.68
White Chocolate Mocha Frappuccino,£4.28
Cookies & Cream Frappuccino®,£4.28
