Item,Price
Peppermint Hot Chocolate,$4.08
Toasted White Hot Chocolate,$3.42
Peppermint White Hot Chocolate,$4.08
Chestnut Praline Crème,$4.29
Caramel Brulée Crème,$4.03
Smoked Butterscotch Crème,$3.91
Eggnog Crème,$3.33
Berry Trio Parfait,$5.09
Strawberry Overnight Grains,$4.66
Rolled and Steel-Cut Oatmeal,$4.62
Rolled and Steel-Cut Oatmeal with Blueberries,$4.74
Caramel Brulée Frappuccino,$4.93
Caramel Brulee Latte,$5.03
Chestnut Praline Frappuccino,$5.08
Caramel Ribbon Crunch Crème Frappuccino,$4.75
Peppermint Mocha Crème Frappuccino,$4.86
Salted Caramel Mocha Frappuccino,$4.85
Chestnut Praline Latte,$4.75
Salted Caramel Mocha,$4.34
Iced Tea Lemonade,$3.68
Mocha Frappuccino,$4.80
Protein Bistro Box,$5.25
Roasted Tomato & Mozzarella Panini,$5.54
Vanilla Bean Creme Frappuccino,$4.25
Strawberry Acai Starbucks Refreshers™,$3.87
Caramel Frappuccino,$4.62
"Roasted Ham, Swiss and Egg Sandwich",$5.52
Caffè Americano,$3.49
Starbucks® Blonde Caffè Americano,$3.44
Blonde Roast,$2.62
Caffè Misto,$3.85
Espresso,$2.27
Skinny Mocha,$5.29
Featured Dark Roast,$3.02
Starbucks® Blonde Flat White,$5.49
Featured Starbucks Dark Roast Coffee,$2.77
Featured Medium Roast - Pike Place Roast,$3.18
Caffè Verona Clover Vertica,$3.25
Pike Place Roast,$2.27
Starbucks Odyssey Blend Clover Vertica,$3.19
Honey Almondmilk Flat White,$6.11
Decaf Pike Place Roast,$2.96
Cappuccino,$4.34
Featured Dark Roast Sumatra,$3.02
Starbucks® Blonde Cappuccino,$4.24
Apple Crisp Oatmilk Macchiato,$6.58
Flat White,$5.18
Featured Dark Roast Caffè Verona,$3.20
Caffè Latte,$4.37
Latte Macchiato,$5.10
Featured Blonde Roast,$3.19
Pistachio Latte,$6.66
Cinnamon Dolce Latte,$5.28
Almondmilk Honey Flat White with Starbucks® Blonde Espresso,$5.67
Eggnog Latte,$4.96
Veranda Blend Clover Vertica,$3.22
Skinny Cinnamon Dolce Latte,$5.64
Featured Decaf Roast Decaf Pike Place Roast,$3.17
Sugar Cookie Almondmilk Latte,$6.59
Starbucks® Blonde Caffè Latte,$4.24
Espresso con Panna,$3.28
Vanilla Bean Coconutmilk Latte,$5.91
Starbucks Blonde Vanilla Latte,$5.77
Lavender Oatmilk Latte,$6.07
Starbucks® Blonde Vanilla Bean Coconutmilk Latte,$5.92
Starbucks® Blonde Pumpkin Spice Latte,$5.10
Coffee Traveler - Veranda Blend,$23.99
Cortado,$5.52
Pumpkin Spice Latte,$5.76
Gingerbread Latte,$6.64
Brown Sugar Oatmilk Cortado,$6.03
Espresso Macchiato,$3.57
Single-Origin Ethiopia,$3.20
Caramel Macchiato,$5.19
Cinnamon Almondmilk Macchiato,$5.91
Starbucks® Blonde Caramel Brulée Latte,$5.12
Caffè Mocha,$5.02
Coconutmilk Mocha Macchiato,$5.92
Starbucks® Blonde Chestnut Praline Latte,$5.12
Starbucks® Blonde Smoked Butterscotch Latte,$5.09
White Chocolate Mocha,$5.37
Coconutmilk Latte,$5.09
Starbucks® Blonde Eggnog Latte,$5.13
Coconutmilk Latte with Starbucks® Blonde Espresso,$5.09
Starbucks® Blonde Salted Caramel Mocha,$5.13
Smoked Butterscotch Latte,$5.09
Coffee Traveler - Blonde Roast,$23.41
Caramel Cloud Macchiato,$5.92
Cinnamon Cloud Macchiato,$5.66
Coffee Traveler - Pike Place Roast,$23.53
Starbucks® Blonde Caramel Cloud Macchiato,$5.92
Coffee Traveler - Decaf Pike Place Roast,$23.51
Coffee Traveler - Dark Roast,$23.53
Starbucks Blonde Cinnamon Cloud Macchiato,$5.85
Starbucks® Blonde Peppermint Mocha,$5.11
Starbucks® Blonde Peppermint White Chocolate Mocha,$5.11
Starbucks® Blonde Toasted White Chocolate Mocha,$5.11
Cordusio,$5.67
Coffee Traveler – Starbucks® Blonde Roast,$20.70
Peppermint Mocha,$6.25
Peppermint White Chocolate Mocha,$6.25
Toasted White Chocolate Mocha,$5.18
White Mocha Frappucino,$4.77
Freshly Brewed Coffee Hot,$2.24
Caramel Macchiato Hot,$3.96
White Chocolate Mocha Hot,$6.35
Cinnamon Dolce Latte Hot,$3.96
Vanilla Latte Hot,$3.92
Caffe Mocha Hot,$3.46
Caffe Latte Hot,$4.62
Skinny Caffe Mocha Hot,$3.46
Caffe Americano Hot,$2.26
Cappuccino Hot,$4.12
Tropical Citrus Iced Energy,$7.01
Melon Burst Iced Energy,$7.01
Bacon & Gouda Breakfast Sandwich,$3.78
Sausage & Cheddar Breakfast Sandwich,$3.51
Spinach & Feta Breakfast Wrap,$3.76
Reduced Fat Turkey Bacon Breakfast Sandwich,$3.77
Slow-Roasted Ham & Swiss on Croissant Bun,$4.75
"Double-Smoked Bacon, Cheddar & Egg on Croissant Bun",$4.77
Cheese & Fruit Bistro Box,$5.02
Omega-3 Bistro Box,$5.95
PB&J on Wheat Bistro Box,$5.25
Turkey Pesto Panini,$6.42
Turkey Rustico Panini,$6.45
Chicken Santa Fe Flatbread,$5.95
Chicken Blt Salad Deli Sandwich,$5.95
Chicken Artichoke Panini,$6.45
Old-Fashioned Grilled Cheese,$5.25
Edamame Hummus Wrap,$5.95
Thai-Style Peanut Chicken Wrap,$5.95
Salted Caramel,$1.99
Salted Caramel Pop,$1.96
Iced Vanilla Latte,$5.16
Mango Dragonfruit Refresher,$5.46
